GIA2043,Gia vi Aji-ngon,440,25000,26/09/2022,onebanh68@gmail.com,191-Tran Hung Dao-Bien Hoa,0921667788
XIT5018,Xit tam Axe,300,95000,08/04/2023,myhoa53@gmail.com,415-Tran Hung Dao-Da Lat,0987654321
KEM3478,Kem chuoi,360,12000,10/07/2021,mimi13@gmail.com,904-Nguyen Hue-Vung Tau,0945632178
BAN7624,Banh gao One One,440,15000,26/06/2022,quybanh56@gmail.com,850-Tran Hung Dao-Da Nang,0786435198
SUA1029,Sua bot Meiji,200,350000,24/10/2023,giainuoc10@gmail.com,617-Le Thanh Ton-Da Lat,0876314598
KEO6432,Keo gum Doublemint,800,5000,04/12/2022,gaugau75@gmail.com,66-Nguyen Hue-Hue,0459873268
BIA1923,Bia 333,260,16000,12/03/2022,xitxit28@gmail.com,274-Hai Ba Trung-Ho Chi Minh City,0756498315
TRA2541,Tra atiso Dr Thanh,600,10000,06/01/2023,trungnguyen80@gmail.com,992-Pham Ngu Lao-Hanoi,0985643278
CA4673,Ca Loc Hap Dan,300,55000,15/09/2023,lontrung79@gmail.com,523-Ly Thuong Kiet-Bien Hoa,0569874531
XIT8021,Xit khuan Lifebuoy,400,85000,20/02/2021,alpenliebekeo40@gmail.com,623-Nguyen Trai-Da Lat,0786431478
DAU4832,Dau an Simply,180,60000,10/01/2023,c2xanh58@gmail.com,972-Nguyen Trai-Vung Tau,0976541287
BOT2085,Bot My Hoa Ngoc Lan,360,25000,11/03/2024,atisothanh62@gmail.com,923-Tran Hung Dao-Da Nang,0786321489
NUOC1053,Nuoc dua Cocoxim,440,18000,13/02/2021,nuocngu27@gmail.com,376-Ly Thuong Kiet-Hanoi,0976325841
